,gene_id,gene_name
7727,ENSG00000138744,NAAA
7751,ENSG00000169288,MRPL1
7783,ENSG00000138674,SEC31A
7784,ENSG00000251022,THAP9-AS1
7787,ENSG00000138663,COPS4
7793,ENSG00000163319,MRPS18C
7802,ENSG00000138639,ARHGAP24
7813,ENSG00000198189,HSD17B11
7829,ENSG00000145337,PYURF
7830,ENSG00000138641,HERC3
7872,ENSG00000151247,EIF4E
7876,ENSG00000197894,ADH5
7888,ENSG00000070190,DAPP1
7891,ENSG00000164032,H2AFZ
7896,ENSG00000138814,PPP3CA
7898,ENSG00000153064,BANK1
7907,ENSG00000145354,CISD2
7926,ENSG00000138777,PPA2
7950,ENSG00000198856,OSTC
7956,ENSG00000005059,CCDC109B
8006,ENSG00000269893,SNHG8
8016,ENSG00000164096,C4orf3
8032,ENSG00000164111,ANXA5
8138,ENSG00000153130,SCOC
8154,ENSG00000109452,INPP4B
8190,ENSG00000164167,LSM6
8203,ENSG00000164169,PRMT10
8241,ENSG00000170006,TMEM154
8249,ENSG00000121210,KIAA0922
8355,ENSG00000164104,HMGB2
8386,ENSG00000129128,SPCS3
8394,ENSG00000038002,AGA
8421,ENSG00000182552,RWDD4
8427,ENSG00000168310,IRF2
8442,ENSG00000164323,KIAA1430
8493,ENSG00000109536,FRG1
8506,ENSG00000073578,SDHA
8508,ENSG00000249915,PDCD6
8512,ENSG00000188242,CTD-2228K2.5
8542,ENSG00000145494,NDUFS6
8631,ENSG00000150753,CCT5
8657,ENSG00000145569,FAM105A
8671,ENSG00000173545,ZNF622
8731,ENSG00000113387,SUB1
8809,ENSG00000171522,PTGER4
8811,ENSG00000132356,PRKAA1
8829,ENSG00000177721,ANXA2R
8851,ENSG00000112996,MRPS30
8886,ENSG00000113088,GZMK
8889,ENSG00000145649,GZMA
8918,ENSG00000062194,GPBP1
8975,ENSG00000112851,ERBB2IP
8976,ENSG00000153914,SREK1
9007,ENSG00000085231,TAF9
9066,ENSG00000164346,NSA2
9076,ENSG00000113163,COL4A3BP
9094,ENSG00000164252,AGGF1
9101,ENSG00000171530,TBCA
9138,ENSG00000131732,ZCCHC9
9153,ENSG00000174695,TMEM167A
9188,ENSG00000081189,MEF2C
9232,ENSG00000173221,GLRX
9243,ENSG00000153113,CAST
9327,ENSG00000153037,SRP19
9328,ENSG00000129625,REEP5
9357,ENSG00000145782,ATG12
9358,ENSG00000177879,AP3S1
9382,ENSG00000145779,TNFAIP8
9402,ENSG00000205302,SNX2
9441,ENSG00000164902,PHAX
9458,ENSG00000066583,ISOC1
9466,ENSG00000158985,CDC42SE2
9482,ENSG00000197536,C5orf56
9485,ENSG00000125347,IRF1
9499,ENSG00000164405,UQCRQ
9513,ENSG00000213585,VDAC1
9515,ENSG00000081059,TCF7
9523,ENSG00000237190,CDKN2AIPNL
9530,ENSG00000164615,CAMLG
9531,ENSG00000145833,DDX46
9542,ENSG00000113648,H2AFY
9586,ENSG00000120733,KDM3B
9590,ENSG00000113013,HSPA9
9596,ENSG00000015479,MATR3
9597,ENSG00000120727,PAIP2
9606,ENSG00000184584,TMEM173
9609,ENSG00000171604,CXXC5
9621,ENSG00000120306,CYSTM1
9622,ENSG00000113068,PFDN1
9633,ENSG00000170458,CD14
9634,ENSG00000131495,NDUFA2
9636,ENSG00000113141,IK
9639,ENSG00000170445,HARS
9641,ENSG00000146007,ZMAT2
9677,ENSG00000178913,TAF7
9700,ENSG00000131504,DIAPH1
9703,ENSG00000171720,HDAC3
9714,ENSG00000131507,NDFIP1
9722,ENSG00000113580,NR3C1
9737,ENSG00000091009,RBM27
9784,ENSG00000113712,CSNK1A1
9813,ENSG00000145901,TNIP1
9814,ENSG00000197043,ANXA6
9827,ENSG00000177556,ATOX1
9829,ENSG00000145907,G3BP1
9846,ENSG00000155508,CNOT8
9848,ENSG00000082515,MRPL22
9903,ENSG00000164609,SLU7
9920,ENSG00000170584,NUDCD2
9953,ENSG00000134516,DOCK2
9976,ENSG00000072786,STK10
9991,ENSG00000037241,RPL26L1
10034,ENSG00000122203,KIAA1191
10040,ENSG00000175416,CLTB
10054,ENSG00000113761,ZNF346
10056,ENSG00000165671,NSD1
10057,ENSG00000169228,RAB24
10060,ENSG00000169223,LMAN2
10061,ENSG00000169220,RGS14
10065,ENSG00000198055,GRK6
10075,ENSG00000184840,TMED9
10089,ENSG00000145912,NHP2
10091,ENSG00000175309,PHYKPL
10116,ENSG00000127022,CANX
10120,ENSG00000161011,SQSTM1
10124,ENSG00000113269,RNF130
10163,ENSG00000112679,DUSP22
10188,ENSG00000021355,SERPINB1
10192,ENSG00000124570,SERPINB6
10234,ENSG00000214113,LYRM4
10242,ENSG00000112799,LY86
10249,ENSG00000124783,SSR1
10280,ENSG00000111843,TMEM14C
10282,ENSG00000137210,TMEM14B
10314,ENSG00000225921,NOL7
10321,ENSG00000112149,CD83
10333,ENSG00000007944,MYLIP
10334,ENSG00000137198,GMPR
10348,ENSG00000124795,DEK
10380,ENSG00000111802,TDP2
10388,ENSG00000111913,FAM65B
10440,ENSG00000186470,BTN3A2
10449,ENSG00000146109,ABT1
10457,ENSG00000197903,HIST1H2BK
10537,ENSG00000066379,ZNRD1
10538,ENSG00000204619,PPP1R11
10557,ENSG00000204568,MRPS18B
10561,ENSG00000146112,PPP1R18
